Run Start Time: 06/23/2019, 10:38:02

model type,kernel type,MAE value,MSE Value
SVR,linear,0.3446031152780571,0.17390403244061087
SVR,poly,0.471833489550757,0.2451058828474403
SVR,rbf,0.3758530395311511,0.16725020365823395
SVR,sigmoid,0.8868842915776306,1.2852253594328378
RFR,10-mae-None,0.37350917431192665,0.1759798270347614
RFR,10-mae-2,0.3945233944954129,0.19591506737311676
RFR,10-mae-4,0.37469036697247715,0.18201596561737232
RFR,10-mae-8,0.3563761467889908,0.16375048396599615
RFR,10-mae-16,0.339197247706422,0.16101483460988134
RFR,10-mae-32,0.3773394495412844,0.17893211009174312
RFR,10-mae-64,0.3595642201834862,0.15575624526555004
RFR,10-mse-None,0.3702228593272171,0.1764209926785531
RFR,10-mse-2,0.3819330416995127,0.1838767489808997
RFR,10-mse-4,0.378357006334644,0.1738271114507474
RFR,10-mse-8,0.40159070554827436,0.19639601738930432
RFR,10-mse-16,0.38454166666666667,0.17778770600234736
RFR,10-mse-32,0.37115137614678906,0.17500869472266645
RFR,10-mse-64,0.4117675840978593,0.19763676432024987
RFR,20-mae-None,0.3522649082568807,0.16158513829854387
RFR,20-mae-2,0.37621399082568807,0.1844584161261678
RFR,20-mae-4,0.37486238532110083,0.17671336850854302
RFR,20-mae-8,0.37045091743119263,0.16485410229273628
RFR,20-mae-16,0.38583715596330276,0.1788848255618214
RFR,20-mae-32,0.37009174311926607,0.1695821626967427
RFR,20-mae-64,0.3613532110091742,0.1662247979968016
RFR,20-mse-None,0.3794855695718654,0.17551740750645578
RFR,20-mse-2,0.37975225242486615,0.18192885429717084
RFR,20-mse-4,0.3700552051478084,0.1778918988262001
RFR,20-mse-8,0.38743722695500216,0.17770715478166443
RFR,20-mse-16,0.3572039373088685,0.1654884575164946
RFR,20-mse-32,0.3854888324595893,0.18095706321489716
RFR,20-mse-64,0.37534500600698995,0.17576861808920755
RFR,30-mae-None,0.36290137614678897,0.1665995138129039
RFR,30-mae-2,0.3940290519877676,0.19696294293409644
RFR,30-mae-4,0.37288990825688073,0.1801691372312469
RFR,30-mae-8,0.35603211009174307,0.16682907864096735
RFR,30-mae-16,0.3628622324159021,0.16571004931403083
RFR,30-mae-32,0.37305428134556573,0.1711376101197991
RFR,30-mae-64,0.35253944954128447,0.161794463988628
RFR,30-mse-None,0.39045908875782726,0.18083973733216008
RFR,30-mse-2,0.38550147380690336,0.18297654435434613
RFR,30-mse-4,0.36688580348041366,0.16731422260199874
RFR,30-mse-8,0.3562019118114302,0.16550956501448288
RFR,30-mse-16,0.3944770733216834,0.1846701960466431
RFR,30-mse-32,0.36965599970875196,0.17140309566339917
RFR,30-mse-64,0.37014525993883796,0.17426893218864853
RFR,40-mae-None,0.35744552752293574,0.16719029286518394
RFR,40-mae-2,0.3763090596330275,0.1825121396282931
RFR,40-mae-4,0.3536181192660551,0.16685570935211685
RFR,40-mae-8,0.3657253440366972,0.17265987704896474
RFR,40-mae-16,0.3645900229357798,0.1715813863127052
RFR,40-mae-32,0.38742259174311927,0.17505973120160342
RFR,40-mae-64,0.3697993119266055,0.168972124347698
RFR,40-mse-None,0.38529001743350944,0.180654334019891
RFR,40-mse-2,0.3770140544236219,0.18418673819345865
RFR,40-mse-4,0.3925449756983588,0.18349384892193965
RFR,40-mse-8,0.35710895860637837,0.1658081713452566
RFR,40-mse-16,0.38344640354230375,0.17688717140798652
RFR,40-mse-32,0.37524504423328964,0.17119212851810695
RFR,40-mse-64,0.3871318010958206,0.17899717094145814
RFR,50-mae-None,0.3668463302752293,0.17120495518054035
RFR,50-mae-2,0.3880275229357798,0.1938212107566703
RFR,50-mae-4,0.3577454128440367,0.16924200206211598
RFR,50-mae-8,0.3639954128440367,0.16958860988132318
