Run Start Time: 06/23/2019, 10:38:49

model type,kernel type,MAE value,MSE Value
SVR,linear,0.1806644138058808,0.09407388597899355
SVR,poly,0.22275127181532253,0.08157598204322065
SVR,rbf,0.3923401562556294,0.1658246050317247
SVR,sigmoid,2.2588677521386438,5.256612433678728
RFR,10-mae-None,0.29343987308264197,0.1201923284507616
RFR,10-mae-2,0.283720375919368,0.11975636481242677
RFR,10-mae-4,0.30596908199400713,0.13788208392916151
RFR,10-mae-8,0.2816466676501013,0.11103321719325344
RFR,10-mae-16,0.3031812373356405,0.1257754360691242
RFR,10-mae-32,0.3039585880534421,0.12903304935345875
RFR,10-mae-64,0.29784894807194046,0.12453088142972024
RFR,10-mse-None,0.29911660577517424,0.12738618156691447
RFR,10-mse-2,0.309165117503349,0.14267323809660085
RFR,10-mse-4,0.35271363547195567,0.18076903760887397
RFR,10-mse-8,0.2769709793288693,0.10537821685661354
RFR,10-mse-16,0.29046674075609225,0.11744742001527701
RFR,10-mse-32,0.2677870278948497,0.10922545198104369
RFR,10-mse-64,0.316421154944338,0.13812855432259313
RFR,20-mae-None,0.2587723908591266,0.10134217775697858
RFR,20-mae-2,0.29968819317430057,0.13196667235672926
RFR,20-mae-4,0.2947406085770576,0.12315827193725859
RFR,20-mae-8,0.32055053933542155,0.1444562628513713
RFR,20-mae-16,0.28770576331867537,0.11900411342119496
RFR,20-mae-32,0.34509811795965684,0.16856057660476065
RFR,20-mae-64,0.3139612374442407,0.1407838149594942
RFR,20-mse-None,0.3223430298170721,0.14354671275238812
RFR,20-mse-2,0.28877820282874594,0.1248725643974764
RFR,20-mse-4,0.3296981478066912,0.15987527770925908
RFR,20-mse-8,0.25809379838927893,0.10554170999049498
RFR,20-mse-16,0.2912650196249494,0.1237993605537434
RFR,20-mse-32,0.29250056110069866,0.11813854868591862
RFR,20-mse-64,0.27598598741505426,0.11266403725650855
RFR,30-mae-None,0.3121369248604714,0.135387710218067
RFR,30-mae-2,0.2885706502704596,0.12339732441004583
RFR,30-mae-4,0.31432770256715636,0.14259926969371733
RFR,30-mae-8,0.32820073256824545,0.15020312089184687
RFR,30-mae-16,0.3189194784297506,0.14168257855505942
RFR,30-mae-32,0.31422534316888556,0.1365640350960855
RFR,30-mae-64,0.32122778938693103,0.1423834771279006
RFR,30-mse-None,0.3057168921175307,0.1306767995346704
RFR,30-mse-2,0.276935221826213,0.11467804091419845
RFR,30-mse-4,0.31862495747925773,0.1446035066878983
RFR,30-mse-8,0.3171932943639848,0.14184225261043384
RFR,30-mse-16,0.3176219933977151,0.14182353767214742
RFR,30-mse-32,0.30340696724167415,0.1297923041035665
RFR,30-mse-64,0.30236015243838976,0.1266267808216824
RFR,40-mae-None,0.2690359973248167,0.10539086620940963
RFR,40-mae-2,0.2809015830505959,0.11799662608519139
RFR,40-mae-4,0.3021830041240901,0.1318420749313339
RFR,40-mae-8,0.290656949367902,0.11823388825292688
RFR,40-mae-16,0.2878645401101025,0.11868126534345093
RFR,40-mae-32,0.300007002446218,0.12386394897270374
RFR,40-mae-64,0.3053062761375637,0.1305657963912762
RFR,40-mse-None,0.3036317016464685,0.1302557113099138
RFR,40-mse-2,0.2845327004074318,0.12199905663715595
RFR,40-mse-4,0.29177779192417447,0.1242618121676777
RFR,40-mse-8,0.30800647709306395,0.13086078977740653
RFR,40-mse-16,0.289630144987968,0.11664240567816107
RFR,40-mse-32,0.3045593447701342,0.13007930773185208
RFR,40-mse-64,0.29956345036430826,0.12423359120926351
RFR,50-mae-None,0.31846595069010863,0.14329038899061639
RFR,50-mae-2,0.28162606529945133,0.11914689134924308
RFR,50-mae-4,0.30105000266975335,0.1266127539700048
RFR,50-mae-8,0.3086774268283964,0.13209701204269203
RFR,50-mae-16,0.2963973850897444,0.12294096625709774
RFR,50-mae-32,0.30423448669693587,0.13090864315652842
RFR,50-mae-64,0.2990942205723046,0.12507281670234155
RFR,50-mse-None,0.2928631294395961,0.12138968662099818
RFR,50-mse-2,0.2854736391685012,0.11983224077966856
RFR,50-mse-4,0.30562622127042843,0.13236905024887943
RFR,50-mse-8,0.29154918997874146,0.11759417786082682
RFR,50-mse-16,0.31240898629918795,0.1351418789965479
RFR,50-mse-32,0.30331122717247777,0.12858294632965656
RFR,50-mse-64,0.3113929234341896,0.13363846763418363
RFR,60-mae-None,0.3062239265404552,0.1287577445654386
RFR,60-mae-2,0.3013471092604844,0.13437114608749426
RFR,60-mae-4,0.3083546215994205,0.13469712023503688
RFR,60-mae-8,0.2808629121639089,0.11517168984857948
RFR,60-mae-16,0.29379596085930465,0.12251239456163766
RFR,60-mae-32,0.2906832057130911,0.12079177739621749
RFR,60-mae-64,0.3061370313489374,0.1294166972323275
RFR,60-mse-None,0.30577445773086653,0.12852713894927112
RFR,60-mse-2,0.2787668121172465,0.11547015934377802
RFR,60-mse-4,0.28953407263570774,0.1191555544751579
RFR,60-mse-8,0.3166743719970931,0.13877570210522386
RFR,60-mse-16,0.3045402869547406,0.12894365078774295
RFR,60-mse-32,0.29704721323003047,0.12499686486900692
RFR,60-mse-64,0.2868387307600531,0.11666598651686279
RFR,70-mae-None,0.30470340074859104,0.12987750713631635
RFR,70-mae-2,0.2816902547668672,0.11811204290215385
RFR,70-mae-4,0.29659427875094846,0.12445825407785852
RFR,70-mae-8,0.30835362582883546,0.131850478527245
RFR,70-mae-16,0.29818930606711463,0.12446121446954998
RFR,70-mae-32,0.29602271720899725,0.12473214761939154
RFR,70-mae-64,0.2969910134680975,0.12474740663206127
RFR,70-mse-None,0.30800060751432773,0.13441235403333088
RFR,70-mse-2,0.2848267395572432,0.12037696485392205
RFR,70-mse-4,0.28111626102027937,0.11476460115069467
RFR,70-mse-8,0.30742564736993094,0.1302764617351328
RFR,70-mse-16,0.3034779209460829,0.12906124416550505
RFR,70-mse-32,0.2982076581971059,0.12452977468461043
RFR,70-mse-64,0.3004759788783079,0.12388770977201728
RFR,80-mae-None,0.29578035305903955,0.12349499796881173
RFR,80-mae-2,0.2979986112192086,0.13027941338632512
RFR,80-mae-4,0.3036459426876364,0.13115437867519117
RFR,80-mae-8,0.30004473109475277,0.12601803897294656
RFR,80-mae-16,0.30061300534131685,0.12655296068779556
RFR,80-mae-32,0.30331285278075176,0.12765782613580798
RFR,80-mae-64,0.2912247385904247,0.12166742194538327
RFR,80-mse-None,0.2932173678087481,0.12181797070251495
RFR,80-mse-2,0.26922724230571626,0.11071941910369357
RFR,80-mse-4,0.2978720461213357,0.1260727998586683
RFR,80-mse-8,0.28876245583217436,0.11661688088193436
RFR,80-mse-16,0.2945407899845335,0.12162984504543324
RFR,80-mse-32,0.3190952013672757,0.14030340307173825
RFR,80-mse-64,0.2924246102952023,0.11877979961991544
RFR,90-mae-None,0.30470923118243753,0.1301015244526555
RFR,90-mae-2,0.2917888166798548,0.1247046045428455
RFR,90-mae-4,0.29006324726068755,0.12326351593466749
RFR,90-mae-8,0.3135851591982456,0.13806129117656804
RFR,90-mae-16,0.3283541051203054,0.15035197748241064
RFR,90-mae-32,0.308597107224232,0.13203044791087187
RFR,90-mae-64,0.2940769863341815,0.1220048596864879
RFR,90-mse-None,0.3030130730429428,0.1292179719686097
RFR,90-mse-2,0.2754048104919869,0.1118623855968824
RFR,90-mse-4,0.29428252076976674,0.12397900363574658
RFR,90-mse-8,0.2924417020899193,0.12186400777755936
RFR,90-mse-16,0.28570700296910784,0.11682424636614798
RFR,90-mse-32,0.2876440070473446,0.1164629596536489
RFR,90-mse-64,0.2999830815067145,0.12308986144615984
LR,LR,0.19029866650078578,0.0974693562392083
Run Start Time: 06/23/2019, 10:42:06

model type,kernel type,MAE value,MSE Value
SVR,linear,0.1806644138058808,0.09407388597899355
SVR,poly,0.22275127181532253,0.08157598204322065
SVR,rbf,0.3923401562556294,0.1658246050317247
SVR,sigmoid,2.2588677521386438,5.256612433678728
RFR,10-mae-None,0.2500845949803207,0.10267183323280483
RFR,10-mae-2,0.28305930653383665,0.12329894515837173
RFR,10-mae-4,0.31149402337255916,0.1362186443165618
RFR,10-mae-8,0.29895508569908175,0.1267983835394258
RFR,10-mae-16,0.3481028461380435,0.17283487726802277
RFR,10-mae-32,0.22944507140911385,0.10135590046427424
RFR,10-mae-64,0.3055589920459451,0.13192658322222142
RFR,10-mse-None,0.3123019970659863,0.13693846027065046
RFR,10-mse-2,0.3272167822926461,0.16363673661749825
RFR,10-mse-4,0.2876760488995381,0.11926403641097642
RFR,10-mse-8,0.28132754162778933,0.11301611934157586
RFR,10-mse-16,0.33699834656294153,0.15909265013570084
RFR,10-mse-32,0.2812769294397772,0.11177131408072606
RFR,10-mse-64,0.2856500306342882,0.11524999639202807
RFR,20-mae-None,0.2830247354907957,0.11745808723805908
RFR,20-mae-2,0.2906256080476321,0.12618140551431867
RFR,20-mae-4,0.3073327546605295,0.13329957575211743
RFR,20-mae-8,0.30027383071591923,0.12453606327514086
RFR,20-mae-16,0.2990411852437757,0.12410779284949444
RFR,20-mae-32,0.310086678745415,0.1349913982353888
RFR,20-mae-64,0.29146105418151247,0.12278051704770683
RFR,20-mse-None,0.3075558091569824,0.13409645029121336
RFR,20-mse-2,0.2911387861401319,0.12772280516682413
RFR,20-mse-4,0.2897580463617026,0.1193976624872629
RFR,20-mse-8,0.32471783196120085,0.14712895933272757
RFR,20-mse-16,0.3003647946416694,0.12310480769802525
RFR,20-mse-32,0.2867095041408327,0.11617252012503286
RFR,20-mse-64,0.3052515744757102,0.12857490321205645
RFR,30-mae-None,0.2816972722964372,0.11612053549518768
RFR,30-mae-2,0.2624949734729087,0.10508616138633488
RFR,30-mae-4,0.2847832054717574,0.11713592044395608
RFR,30-mae-8,0.309586699560441,0.13423732136972888
RFR,30-mae-16,0.29122983016447185,0.12158021178046133
RFR,30-mae-32,0.2976365367658215,0.12828685269046045
RFR,30-mae-64,0.29420713303788065,0.12004803587497238
RFR,30-mse-None,0.27284151197934914,0.1063638997430296
RFR,30-mse-2,0.29804330258205497,0.13100693143530168
RFR,30-mse-4,0.3108884517487583,0.13702639216085163
RFR,30-mse-8,0.32377167150892555,0.14956502679361453
RFR,30-mse-16,0.30600942619006893,0.12926540906904388
RFR,30-mse-32,0.3204421258566966,0.14434124340686041
RFR,30-mse-64,0.29671001169563127,0.12230737058241961
RFR,40-mae-None,0.3238380916784241,0.14695458214132343
RFR,40-mae-2,0.2843189380083278,0.12182476772255812
RFR,40-mae-4,0.28827144558544976,0.11685638708558692
RFR,40-mae-8,0.2937620054055717,0.12189178057477924
RFR,40-mae-16,0.2765174153891822,0.10910725852773015
RFR,40-mae-32,0.2744928543373536,0.10949028345498915
RFR,40-mae-64,0.30135467356156864,0.12396097388496859
RFR,40-mse-None,0.306751715655886,0.13443549139280525
RFR,40-mse-2,0.29016532323633315,0.12591285230209695
RFR,40-mse-4,0.28862146249694004,0.11678203199178468
RFR,40-mse-8,0.2981940532828463,0.12643878848658793
RFR,40-mse-16,0.30082542890265895,0.12562139220267274
RFR,40-mse-32,0.3075747858993584,0.13647958507650113
RFR,40-mse-64,0.3060424945541557,0.13289003303151453
RFR,50-mae-None,0.30150363222202214,0.12732938810532513
RFR,50-mae-2,0.27981602910845627,0.1176439752927949
RFR,50-mae-4,0.29787900542186174,0.12550008177052782
RFR,50-mae-8,0.3061937915112704,0.13041145649955352
RFR,50-mae-16,0.2784935532244738,0.11064896267392968
RFR,50-mae-32,0.28496632038306885,0.11623398046542895
RFR,50-mae-64,0.2944536100947445,0.12501081258011884
RFR,50-mse-None,0.3278310290496312,0.1502256454043139
RFR,50-mse-2,0.2842691961381009,0.11971963809677931
RFR,50-mse-4,0.292705854608129,0.12253021969513767
RFR,50-mse-8,0.28574958829990404,0.11514164322510838
RFR,50-mse-16,0.2978430836646392,0.12418595029851882
RFR,50-mse-32,0.29845115392168664,0.1254025917581945
RFR,50-mse-64,0.3047275448857934,0.12908231661304997
RFR,60-mae-None,0.31031618326031485,0.1338827510040887
RFR,60-mae-2,0.2942025495842576,0.12784396771582654
RFR,60-mae-4,0.28899454902738025,0.1187473931472609
RFR,60-mae-8,0.3108872540546313,0.13415415844661013
RFR,60-mae-16,0.29140604896719763,0.1172268111686194
RFR,60-mae-32,0.29837737445899776,0.12513482950397786
RFR,60-mae-64,0.3004624027840248,0.12919078840680645
RFR,60-mse-None,0.3210872050035703,0.1418268359906437
RFR,60-mse-2,0.2742895564072233,0.1093103881037366
RFR,60-mse-4,0.2989779004142153,0.12690727918921857
RFR,60-mse-8,0.31102313243213314,0.13548834647910432
RFR,60-mse-16,0.30387313709288905,0.12780846456153633
RFR,60-mse-32,0.2957856171489267,0.12236147666413065
RFR,60-mse-64,0.3078225393848948,0.1324066437114047
RFR,70-mae-None,0.28967120921208395,0.11731360929180161
RFR,70-mae-2,0.29118052968940233,0.12711915202660085
RFR,70-mae-4,0.2962475211049496,0.12553684978348736
RFR,70-mae-8,0.3052936748049108,0.12958533894405702
RFR,70-mae-16,0.29061699680030406,0.12038040883108704
RFR,70-mae-32,0.29259415599400995,0.11919272575510498
RFR,70-mae-64,0.31265207089468533,0.1369782132935487
RFR,70-mse-None,0.30221450866777755,0.12678671210302841
RFR,70-mse-2,0.2761508913369621,0.11208739419810111
