SKU,ISO_Week,Sales,Season,Promotion
SKU_102,2018-01,207.64,WINTER,0.0
SKU_102,2018-02,207.64,WINTER,0.0
SKU_102,2018-03,207.64,WINTER,0.0
SKU_102,2018-04,-23.0,WINTER,0.0
SKU_102,2018-05,446.0,WINTER,0.0
SKU_102,2018-06,361.0,WINTER,0.0
SKU_102,2018-07,229.0,WINTER,0.0
SKU_102,2018-08,219.0,WINTER,0.0
SKU_102,2018-08,219.0,WINTER,0.0
SKU_102,2018-09,495.0,SPRING,0.0
SKU_102,2018-10,278.0,SPRING,0.0
SKU_102,2018-11,316.0,SPRING,0.0
SKU_102,2018-12,-50.0,SPRING,0.0
SKU_102,2018-13,0.0,SPRING,0.0
SKU_102,2018-14,0.0,SPRING,0.0
SKU_102,2018-15,0.0,SPRING,0.0
SKU_102,2018-16,0.0,SPRING,0.0
SKU_102,2018-17,0.0,SPRING,0.0
SKU_102,2018-18,0.0,SPRING,0.0
SKU_102,2018-19,0.0,SPRING,0.0
SKU_102,2018-20,442.0,SPRING,0.0
SKU_102,2018-21,459.0,SPRING,0.0
SKU_102,2018-22,392.0,SPRING,0.0
SKU_102,2018-23,381.0,SUMMER,0.0
SKU_102,2018-24,288.0,SUMMER,0.0
SKU_102,2018-25,240.0,SUMMER,0.0
SKU_102,2018-26,361.0,SUMMER,0.0
SKU_102,2018-27,0.0,SUMMER,0.0
SKU_102,2018-28,0.0,SUMMER,0.0
SKU_102,2018-29,-45.0,SUMMER,0.0
SKU_102,2018-30,0.0,SUMMER,0.0
SKU_102,2018-31,0.0,SUMMER,0.0
SKU_102,2018-32,0.0,SUMMER,0.0
SKU_102,2018-33,241.0,SUMMER,0.0
SKU_102,2018-34,328.0,SUMMER,0.0
SKU_102,2018-35,233.0,SUMMER,0.0
SKU_102,2018-36,293.0,AUTUMN,0.0
SKU_102,2018-37,387.0,AUTUMN,0.0
SKU_102,2018-38,385.0,AUTUMN,0.0
SKU_102,2018-39,442.0,AUTUMN,0.0
SKU_102,2018-40,0.0,AUTUMN,0.0
SKU_102,2018-41,0.0,AUTUMN,0.0
SKU_102,2018-42,-23.0,AUTUMN,0.0
SKU_102,2018-43,0.0,AUTUMN,0.0
SKU_102,2018-44,0.0,AUTUMN,0.0
SKU_102,2018-45,0.0,AUTUMN,0.0
SKU_102,2018-46,376.0,AUTUMN,0.0
SKU_102,2018-47,483.0,AUTUMN,0.0
SKU_102,2018-48,301.0,AUTUMN,0.0
SKU_102,2018-49,489.0,WINTER,0.0
SKU_102,2018-50,487.0,WINTER,0.0
SKU_102,2018-51,464.0,WINTER,0.0
SKU_102,2018-52,488.0,WINTER,0.0
